CLASS	longitude	latitude	location	COMM_CODE	NAME	SECTOR	COMM_STRUCTURE	RES_CNT	DWELL_CNT	EMPLYD_CNT	EMPLYD_PCT	Homeowners_cnt	Homeowners_pct	SING_FAMLY	DUPLEX	MULTI_PLEX	APARTMENT	TOWN_HOUSE	MANUF_HOME	CONV_STRUC	COMUNL_HSE	RES_COMM	OTHER_RES	NURSING_HM	OTHER_INST	OTHER_MISC	APT_NO_RES	APT_OCCPD	APT_OWNED	APT_PERSON	APT_VACANT	APT_UC	APT_NA	DUP_NO_RES	DUP_OCCPD	DUP_OWNED	DUP_PERSON	DUP_VACANT	DUP_UC	DUP_NA	TWN_NO_RES	TWN_OCCPD	TWN_OWNED	TWN_PERSON	TWN_VACANT	TWN_UC	TWN_NA	SF_NO_RES	SF_OCCPD	SF_OWNED	SF_PERSON	SF_VACANT	SF_UC	SF_NA	OTH_STRTY	DWELSZ_1	DWELSZ_2	DWELSZ_3	DWELSZ_4_5	DWELSZ_6	MALE_CNT	FEMALE_CNT	MALE_0_4	MALE_5_14	MALE_15_19	MALE_20_24	MALE_25_34	MALE_35_44	MALE_45_54	MALE_55_64	MALE_65_74	MALE_75	FEM_0_4	FEM_5_14	FEM_15_19	FEM_20_24	FEM_25_34	FEM_35_44	FEM_45_54	FEM_55_64	FEM_65_74	FEM_75	MF_0_4	MF_5_14	MF_15_19	MF_20_24	MF_25_34	MF_35_44	MF_45_54	MF_55_64	MF_65_74	MF_75	MF_65O	MF_65O_PCT	2014_RES_CNT	2014_DWELL_CNT	2014_EMPLYD_CNT	2014_OWNSHP_CNT	2014_SING_FAMLY	2014_DUPLEX	2014_MULTI_PLEX	2014_APARTMENT	2014_TOWN_HOUSE	2014_MANUF_HOME	2014_CONV_STRUC	2014_COMUNL_HSE	2014_RES_COMM	2014_OTHER_RES	2014_NURSING_HM	2014_APT_NO_RES	2014_APT_OCCPD	2014_APT_OWNED	2014_APT_PERSON	2014_APT_VACANT	2014_APT_UC	2014_APT_NA	2014_DUP_NO_RES	2014_DUP_OCCPD	2014_DUP_OWNED	2014_DUP_PERSON	2014_DUP_VACANT	2014_DUP_UC	2014_DUP_NA	2014_TWN_NO_RES	2014_TWN_OCCPD	2014_TWN_OWNED	2014_TWN_PERSON	2014_TWN_VACANT	2014_TWN_UC	2014_TWN_NA	2014_SF_NO_RES	2014_SF_OCCPD	2014_SF_OWNED	2014_SF_PERSON	2014_SF_VACANT	2014_SF_UC	2014_SF_NA	2014_OTH_STRTY	2014_DWELSZ_1	2014_DWELSZ_2	2014_DWELSZ_3	2014_DWELSZ_4_5	2014_DWELSZ_6	2014_MALE_CNT	2014_FEMALE_CNT	2014_MALE_55_64	2014_MALE_65_74	2014_MALE_75	2014_FEM_65_74	2014_FEM_55_64	2014_FEM_75	2014_MF_55_64	2014_MF_65_74	2014_MF_75	2014_MF65O	Percent_Change_65OMF	Actual_Change_65OMF	Percent_Chg_65OvsTtl	Crimes_2014	Crimes_2017	Percent_Change_Crime	Crime_Avg	Percent_Total_Crime_2017	Attraction	Community_Centre	Hospital	Library	PHS_Clinic	Social _Dev_Ctr	Business_Licenses	Business_Licenses_2017	Percent_New_Business	Number of taxable accounts	Median assessed value	LRT_1km_radius	LRT_2km_radius	Seniors_Services_Ttl	Addiction Services - Seniors	Seniors - Transportation	Seniors - Educational Programs	Seniors - Recreation	Seniors  - Abuse Issues	3 Digit Numbers List	Seniors - Housing	Seniors - Respite / Caregiver	Seniors - Food Assistance and Grocery Shopping	Seniors - Health and Safety	Seniors - Legal Information and Assistance	Seniors - Financial Assistance and Pensions	Seniors - Government Services	Seniors - Death and Funerals
Residential	-114.1527402	51.03337921	"(51.0333792139614, -114.152740180516)"	GDL	GLENDALE	WEST	1950s	2809	1120	1470	0.523317907	851	0.302954788	959	0	0	108	24	0	29	0	0	0	0	0	0	0	106	1	168	2	0	0	0	0	0	0	0	0	0	0	24	21	45	0	0	0	2	936	826	2544	20	0	1	0	258	343	221	248	23	1427	1382	88	162	95	84	167	220	208	231	97	75	80	158	65	72	180	191	216	233	91	96	168	320	160	156	347	411	424	464	188	171	359	0.127803489	2739	1112	0	855	959	0	0	108	24	0	21	0	0	0	0	0	106	0	170	2	0	0	0	0	0	0	0	0	0	0	21	20	38	2	0	1	2	927	833	2507	25	5	0	0	250	363	185	244	26	1405	1334	220	84	74	76	198	109	418	160	183	343	0.04664723	16	-0.872196511	268	387	0.444029851	327.5	0.003061515	0	1	0	0	0	0	62	0	0	982	571000	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Residential	-114.1528625	51.01551339	"(51.0155133915799, -114.152862528799)"	GLA	GLAMORGAN	WEST	1950s	6457	2974	3483	0.539414589	1725	0.267151928	1138	74	43	893	806	0	17	0	0	1	2	0	0	3	880	133	1522	10	0	0	0	71	52	181	2	0	1	0	788	490	1678	17	0	1	0	1120	1046	2824	11	0	7	3	984	1014	499	399	19	3165	3292	212	281	122	248	600	621	412	307	174	188	204	278	95	226	580	566	420	365	264	294	416	559	217	474	1180	1187	832	672	438	482	920	0.142481028	6486	2978	0	1725	1139	73	44	835	866	0	18	0	0	1	2	2	823	170	1428	10	0	0	0	71	43	188	2	0	0	0	790	477	1675	16	0	60	0	1109	1032	2871	27	0	3	3	926	1004	491	395	36	3064	3422	329	188	191	239	366	330	695	427	521	948	-0.029535865	-28	-0.857518972	442	539	0.219457014	490.5	0.004263971	0	1	0	0	0	0	93	5	0.053763441	2348	315000	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Industrial	-113.9399375	50.98691692	"(50.986916921611, -113.93993754574)"	GPI	GREAT PLAINS	EAST	EMPLOYMENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	115	0.85483871	88.5	0.000909753	0	0	0	0	0	0	164	19	0.115853659	#N/A	#N/A	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Major Park	-114.1315356	50.99045569	"(50.9904556913229, -114.131535599359)"	GPK	GLENMORE PARK	SOUTH	PARKS	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	126	0.575	103	0.000996772	1	0	0	0	0	0	17	0	0	#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Residential	-114.2228585	51.08997154	"(51.0899715360962, -114.222858521853)"	GRE	GREENWOOD/GREENBRIAR	NORTHWEST	1960s/1970s	921	496	454	0.492942454	438	0.475570033	1	0	0	0	0	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	175	209	46	38	5	463	458	12	25	30	13	46	65	69	103	69	31	12	31	31	22	40	53	75	99	70	25	24	56	61	35	86	118	144	202	139	56	195	0.211726384	950	498	0	449	1	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	174	217	55	30	8	480	470	82	72	32	76	79	25	161	148	57	205	-0.048780488	-10	-0.788273616	50	53	0.06	51.5	0.000419277	0	0	0	0	0	0	0	0	0	499	42000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Industrial	-114.0470382	51.08877745	"(51.0887774496914, -114.047038224839)"	GRI	GREENVIEW INDUSTRIAL PARK	CENTRE	EMPLOYMENT	145	5	1	0.006896552	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	2	1	0	0	0	2	72	73	0	0	3	6	8	11	8	11	8	17	0	0	0	0	0	0	0	2	3	68	0	0	3	6	8	11	8	13	11	85	96	0.662068966	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	186	250	0.344086022	218	0.001977723	0	0	0	0	0	0	522	26	0.049808429	#N/A	#N/A	0	0	7	0	4	0	0	0	0	1	0	2	0	0	0	0	0
Residential	-114.0574661	51.09485595	"(51.0948559537504, -114.057466114825)"	GRV	GREENVIEW	CENTRE	1960s/1970s	1977	1120	1188	0.60091047	396	0.20030349	207	30	0	511	309	0	63	0	0	0	0	0	0	1	471	115	759	33	1	5	1	26	6	68	2	1	0	0	289	137	673	15	0	5	0	192	137	426	12	2	1	0	409	378	124	89	10	1031	946	65	39	26	68	279	192	152	106	56	48	82	62	31	79	214	148	126	89	66	49	147	101	57	147	493	340	278	195	122	97	219	0.1107739	2142	1120	0	415	206	30	0	511	309	0	64	0	0	0	0	1	490	122	802	16	0	4	0	26	6	65	1	3	0	0	297	140	730	8	0	4	1	205	140	453	0	0	0	0	414	426	123	94	16	1073	1069	109	56	41	56	99	46	208	112	87	199	0.100502513	20	-0.8892261	239	240	0.0041841	239.5	0.001898614	0	0	0	0	0	0	20	0	0	749	225000	0	0	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0
Industrial	-113.9875692	51.01151396	"(51.0115139605163, -113.987569183055)"	GTI	GOLDEN TRIANGLE	EAST	EMPLOYMENT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	45	-0.166666667	49.5	0.00035599	0	0	0	0	0	0	103	4	0.038834951	#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Residential	-114.0527789	51.14767574	"(51.1476757387929, -114.052778917711)"	HAR	HARVEST HILLS	NORTH	1980s/1990s	7568	2583	4127	0.54532241	2178	0.287790698	2095	106	0	165	182	1	33	0	0	0	1	0	0	2	150	115	258	13	0	0	0	103	93	177	3	0	0	0	177	141	373	5	0	0	0	2073	1827	6635	22	0	0	1	340	761	571	740	119	3809	3759	197	483	327	315	409	548	710	469	237	114	209	441	262	245	402	594	731	479	260	136	406	924	589	560	811	1142	1441	948	497	250	747	0.098705074	7594	2573	0	2225	2096	106	0	165	182	1	22	0	0	0	1	0	161	118	270	2	0	2	0	104	96	178	2	0	0	0	182	147	398	0	0	0	0	2081	1859	6641	14	0	1	1	347	803	525	753	120	3767	3827	407	218	88	220	418	151	825	438	239	677	0.103397341	70	-0.901294926	372	258	-0.306451613	315	0.00204101	0	0	0	0	0	0	15	3	0.2	2655	432000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Residential	-114.1756205	51.13097178	"(51.1309717848102, -114.175620495809)"	HAW	HAWKWOOD	NORTHWEST	1980s/1990s	9697	3332	4727	0.487470352	3031	0.312570898	3068	0	0	138	119	0	7	0	0	0	0	0	0	0	138	131	174	0	0	0	0	0	0	0	0	0	0	0	116	95	246	3	0	0	0	3035	2805	9271	33	0	0	0	363	1129	706	964	130	4809	4888	247	542	351	368	492	513	736	869	468	223	212	511	344	354	475	551	865	903	414	259	459	1053	695	722	967	1064	1601	1772	882	482	1364	0.14066206	9773	3331	0	3076	3067	0	0	138	119	0	7	0	0	0	0	0	138	136	171	0	0	0	0	0	0	0	0	0	0	0	113	104	220	6	0	0	0	3032	2835	9371	26	0	9	0	344	1081	773	959	132	4800	4973	906	412	190	379	905	238	1811	791	428	1219	0.118949959	145	-0.85933794	230	261	0.134782609	245.5	0.002064743	0	0	0	0	0	0	19	0	0	3499	494000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
